	id	rate
0	1001	0.422
1	1003	0.441
2	1005	0.638
3	1007	0.562
4	1009	0.515
5	1011	0.598
6	1013	0.649
7	1015	0.548
8	1017	0.604
9	1019	0.694
10	1021	0.54
11	1023	0.686
12	1025	0.699
13	1027	0.665
14	1029	0.737
15	1031	0.464
16	1033	0.555
17	1035	0.707
18	1037	0.611
19	1039	0.585
20	1041	0.65
21	1043	0.621
22	1045	0.525
23	1047	0.654
24	1049	0.632
25	1051	0.401
26	1053	0.663
27	1055	0.598
28	1057	0.744
29	1059	0.636
30	1061	0.62
31	1063	0.694
32	1065	0.629
33	1067	0.631
34	1069	0.516
35	1071	0.609
36	1073	0.447
37	1075	0.633
38	1077	0.555
39	1079	0.549
40	1081	0.536
41	1083	0.481
42	1085	0.784
43	1087	0.615
44	1089	0.375
45	1091	0.698
46	1093	0.69
47	1095	0.586
48	1097	0.49
49	1099	0.705
50	1101	0.422
51	1103	0.491
52	1105	0.732
53	1107	0.699
54	1109	0.613
55	1111	0.627
56	1113	0.518
57	1115	0.42
58	1117	0.306
59	1119	0.72
60	1121	0.596
61	1123	0.542
62	1125	0.492
63	1127	0.627
64	1129	0.549
65	1131	0.641
66	1133	0.718
67	2013	0.266
68	2016	0.26
69	2020	0.325
70	2050	0.489
71	2060	0.283
72	2068	0.262
73	2070	0.502
74	2090	0.357
75	2100	0.368
76	2105	0.426
77	2110	0.32
78	2122	0.383
79	2130	0.439
80	2150	0.557
81	2164	0.517
82	2170	0.462
83	2180	0.498
84	2185	0.388
85	2188	0.382
86	2195	0.356
87	2198	0.504
88	2220	0.399
89	2230	0.325
90	2240	0.309
91	2261	0.409
92	2270	0.604
93	2275	0.45
94	2282	0.258
95	2290	0.586
96	4001	0.636
97	4003	0.451
98	4005	0.537
99	4007	0.538
100	4009	0.501
101	4011	0.378
102	4012	0.526
103	4013	0.488
104	4015	0.508
105	4017	0.535
106	4019	0.434
107	4021	0.548
108	4023	0.568
109	4025	0.463
110	4027	0.46
111	5001	0.545
112	5003	0.634
113	5005	0.638
114	5007	0.382
115	5009	0.556
116	5011	0.618
117	5013	0.744
118	5015	0.552
119	5017	0.661
120	5019	0.655
121	5021	0.643
122	5023	0.595
123	5025	0.528
124	5027	0.646
125	5029	0.528
126	5031	0.524
127	5033	0.572
128	5035	0.53
129	5037	0.666
130	5039	0.686
131	5041	0.668
132	5043	0.651
133	5045	0.459
134	5047	0.533
135	5049	0.634
136	5051	0.519
137	5053	0.48
138	5055	0.601
139	5057	0.669
140	5059	0.573
141	5061	0.596
142	5063	0.56
143	5065	0.635
144	5067	0.614
145	5069	0.553
146	5071	0.631
147	5073	0.626
148	5075	0.648
149	5077	0.727
150	5079	0.643
151	5081	0.59
152	5083	0.624
153	5085	0.429
154	5087	0.591
155	5089	0.662
156	5091	0.528
157	5093	0.6
158	5095	0.643
159	5097	0.624
160	5099	0.673
161	5101	0.718
162	5103	0.622
163	5105	0.543
164	5107	0.633
165	5109	0.601
166	5111	0.644
167	5113	0.613
168	5115	0.515
169	5117	0.566
170	5119	0.416
171	5121	0.633
172	5123	0.606
173	5125	0.371
174	5127	0.582
175	5129	0.677
176	5131	0.517
177	5133	0.591
178	5135	0.687
179	5137	0.738
180	5139	0.559
181	5141	0.627
182	5143	0.488
183	5145	0.596
184	5147	0.698
185	5149	0.568
186	6001	0.407
187	6003	0.452
188	6005	0.612
189	6007	0.487
190	6009	0.56
191	6011	0.368
192	6013	0.381
193	6015	0.556
194	6017	0.5
195	6019	0.445
196	6021	0.565
197	6023	0.618
198	6025	0.564
199	6027	0.587
200	6029	0.42
201	6031	0.424
202	6033	0.564
203	6035	0.43
204	6037	0.458
205	6039	0.51
206	6041	0.0
207	6043	0.486
208	6045	0.492
209	6047	0.473
210	6049	0.505
211	6051	0.378
212	6053	0.434
213	6055	0.416
214	6057	0.479
215	6059	0.377
216	6061	0.442
217	6063	0.476
218	6065	0.515
219	6067	0.461
220	6069	0.435
221	6071	0.524
222	6073	0.423
223	6075	0.0
224	6077	0.412
225	6079	0.511
226	6081	0.0
227	6083	0.462
228	6085	0.335
229	6087	0.448
230	6089	0.623
231	6091	0.49
232	6093	0.537
233	6095	0.422
234	6097	0.426
235	6099	0.434
236	6101	0.422
237	6103	0.471
238	6105	0.539
239	6107	0.469
240	6109	0.425
241	6111	0.396
242	6113	0.54
243	6115	0.462
244	8001	0.466
245	8003	0.693
246	8005	0.433
247	8007	0.392
248	8009	0.562
249	8011	0.496
250	8013	0.449
251	8014	0.411
252	8015	0.455
253	8017	0.487
254	8019	0.402
255	8021	0.643
256	8023	0.606
257	8025	0.551
258	8027	0.584
259	8029	0.568
260	8031	0.44
261	8033	0.56
262	8035	0.284
263	8037	0.267
264	8039	0.362
265	8041	0.361
266	8043	0.478
267	8045	0.435
268	8047	0.414
269	8049	0.262
270	8051	0.413
271	8053	0.445
272	8055	0.585
273	8057	0.404
274	8059	0.424
275	8061	0.603
276	8063	0.516
277	8065	0.453
278	8067	0.47
279	8069	0.51
280	8071	0.542
281	8073	0.517
282	8075	0.479
283	8077	0.435
284	8079	0.484
285	8081	0.451
286	8083	0.448
287	8085	0.52
288	8087	0.479
289	8089	0.629
290	8091	0.445
291	8093	0.516
292	8095	0.522
293	8097	0.318
294	8099	0.577
295	8101	0.494
296	8103	0.419
297	8105	0.543
298	8107	0.462
299	8109	0.514
300	8111	0.363
301	8113	0.443
302	8115	0.602
303	8117	0.344
304	8119	0.426
305	8121	0.476
306	8123	0.398
307	8125	0.355
308	10001	0.501
309	10003	0.455
310	10005	0.386
311	11001	0.326
312	12001	0.489
313	12003	0.453
314	12005	0.395
315	12007	0.606
316	12009	0.41
317	12011	0.51
318	12013	0.567
319	12015	0.474
320	12017	0.54
321	12019	0.504
322	12021	0.463
323	12023	0.529
324	12027	0.538
325	12029	0.652
326	12031	0.546
327	12033	0.426
328	12035	0.58
329	12037	0.506
330	12039	0.737
331	12041	0.597
332	12043	0.55
333	12045	0.532
334	12047	0.548
335	12049	0.542
336	12051	0.549
337	12053	0.672
338	12055	0.536
339	12057	0.516
340	12059	0.612
341	12061	0.455
342	12063	0.571
343	12065	0.622
344	12067	0.526
345	12069	0.618
346	12071	0.399
347	12073	0.59
348	12075	0.574
349	12077	0.562
350	12079	0.652
351	12081	0.577
352	12083	0.496
353	12085	0.412
354	12086	0.587
355	12087	0.461
356	12089	0.505
357	12091	0.337
358	12093	0.541
359	12095	0.532
360	12097	0.592
361	12099	0.496
362	12101	0.626
363	12103	0.565
364	12105	0.472
365	12107	0.618
366	12109	0.497
367	12111	0.471
368	12113	0.38
369	12115	0.545
370	12117	0.485
371	12119	0.454
372	12121	0.604
373	12123	0.461
374	12125	0.472
375	12127	0.478
376	12129	0.402
377	12131	0.453
378	12133	0.548
379	13001	0.52
380	13003	0.769
381	13005	0.652
382	13007	0.574
383	13009	0.597
384	13011	0.596
385	13013	0.41
386	13015	0.472
387	13017	0.593
388	13019	0.655
389	13021	0.519
390	13023	0.663
391	13025	0.669
392	13027	0.589
393	13029	0.418
394	13031	0.593
395	13033	0.602
396	13035	0.478
397	13037	0.666
398	13039	0.393
399	13043	0.618
400	13045	0.494
401	13047	0.527
402	13049	0.693
403	13051	0.397
404	13053	0.326
405	13055	0.644
406	13057	0.307
407	13059	0.55
408	13061	0.798
409	13063	0.401
410	13065	0.691
411	13067	0.283
412	13069	0.65
413	13071	0.65
414	13073	0.3
415	13075	0.528
416	13077	0.333
417	13079	0.52
418	13081	0.615
419	13083	0.571
420	13085	0.507
421	13087	0.656
422	13089	0.325
423	13091	0.628
424	13093	0.677
425	13095	0.574
426	13097	0.335
427	13099	0.666
428	13101	0.776
429	13103	0.381
430	13105	0.663
431	13107	0.592
432	13109	0.495
433	13111	0.575
434	13113	0.289
435	13115	0.523
436	13117	0.354
437	13119	0.624
438	13121	0.338
439	13123	0.577
440	13125	0.485
441	13127	0.447
442	13129	0.503
443	13131	0.703
444	13133	0.566
445	13135	0.284
446	13137	0.567
447	13139	0.425
448	13141	0.721
449	13143	0.556
450	13145	0.472
451	13147	0.579
452	13149	0.487
453	13151	0.321
454	13153	0.365
455	13155	0.62
456	13157	0.481
457	13159	0.546
458	13161	0.564
459	13163	0.705
460	13165	0.625
461	13167	0.756
462	13169	0.435
463	13171	0.534
464	13173	0.68
465	13175	0.634
466	13177	0.36
467	13179	0.417
468	13181	0.605
469	13183	0.35
470	13185	0.508
471	13187	0.599
472	13189	0.582
473	13191	0.559
474	13193	0.697
475	13195	0.449
476	13197	0.537
477	13199	0.599
478	13201	0.555
479	13205	0.637
480	13207	0.502
481	13209	0.65
482	13211	0.407
483	13213	0.613
484	13215	0.466
485	13217	0.414
486	13219	0.32
487	13221	0.486
488	13223	0.308
489	13225	0.481
490	13227	0.474
491	13229	0.568
492	13231	0.494
493	13233	0.597
494	13235	0.555
495	13237	0.484
496	13239	0.581
497	13241	0.628
498	13243	0.674
499	13245	0.482
500	13247	0.345
501	13249	0.736
502	13251	0.635
503	13253	0.586
504	13255	0.584
505	13257	0.654
506	13259	0.65
507	13261	0.606
508	13263	0.742
509	13265	0.729
510	13267	0.604
511	13269	0.686
512	13271	0.702
513	13273	0.578
514	13275	0.552
515	13277	0.538
516	13279	0.707
517	13281	0.637
518	13283	0.557
519	13285	0.528
520	13287	0.606
521	13289	0.709
522	13291	0.579
523	13293	0.548
524	13295	0.608
525	13297	0.479
526	13299	0.63
527	13301	0.656
528	13303	0.626
529	13305	0.58
530	13307	0.719
531	13309	0.709
532	13311	0.609
533	13313	0.512
534	13315	0.604
535	13317	0.604
536	13319	0.51
537	13321	0.559
538	15001	0.472
539	15003	0.393
540	15005	0.4
541	15007	0.484
542	15009	0.437
543	16001	0.381
544	16003	0.585
545	16005	0.504
546	16007	0.51
547	16009	0.472
548	16011	0.52
549	16013	0.332
550	16015	0.546
551	16017	0.528
552	16019	0.429
553	16021	0.619
554	16023	0.595
555	16025	0.538
556	16027	0.522
557	16029	0.516
558	16031	0.648
559	16033	0.492
560	16035	0.479
561	16037	0.569
562	16039	0.4
563	16041	0.569
564	16043	0.405
565	16045	0.621
566	16047	0.59
567	16049	0.591
568	16051	0.514
569	16053	0.525
570	16055	0.441
571	16057	0.533
572	16059	0.645
573	16061	0.562
574	16063	0.548
575	16065	0.542
576	16067	0.499
577	16069	0.436
578	16071	0.529
579	16073	0.631
580	16075	0.512
581	16077	0.391
582	16079	0.577
583	16081	0.446
584	16083	0.458
585	16085	0.433
586	16087	0.651
587	17001	0.482
588	17003	0.725
589	17005	0.524
590	17007	0.364
591	17009	0.491
592	17011	0.453
593	17013	0.565
594	17015	0.436
595	17017	0.443
596	17019	0.483
597	17021	0.44
598	17023	0.496
599	17025	0.547
600	17027	0.412
601	17029	0.557
602	17031	0.472
603	17033	0.474
604	17035	0.448
605	17037	0.456
606	17039	0.437
607	17041	0.463
608	17043	0.391
609	17045	0.543
610	17047	0.546
611	17049	0.469
612	17051	0.5
613	17053	0.47
614	17055	0.572
615	17057	0.474
616	17059	0.636
617	17061	0.45
618	17063	0.395
619	17065	0.6
620	17067	0.489
621	17069	0.627
622	17071	0.46
623	17073	0.412
624	17075	0.48
625	17077	0.614
626	17079	0.443
627	17081	0.548
628	17083	0.476
629	17085	0.431
630	17087	0.612
631	17089	0.448
632	17091	0.412
633	17093	0.211
634	17095	0.511
635	17097	0.425
636	17099	0.45
637	17101	0.562
638	17103	0.42
639	17105	0.426
640	17107	0.484
641	17109	0.606
642	17111	0.429
643	17113	0.4
644	17115	0.447
645	17117	0.472
646	17119	0.427
647	17121	0.565
648	17123	0.382
649	17125	0.544
650	17127	0.472
651	17129	0.447
652	17131	0.414
653	17133	0.338
654	17135	0.538
655	17137	0.454
656	17139	0.442
657	17141	0.413
658	17143	0.399
659	17145	0.564
660	17147	0.342
661	17149	0.533
662	17151	0.531
663	17153	0.651
664	17155	0.459
665	17157	0.466
666	17159	0.503
667	17161	0.414
668	17163	0.441
669	17165	0.573
670	17167	0.37
671	17169	0.417
672	17171	0.476
673	17173	0.512
674	17175	0.479
675	17177	0.477
676	17179	0.377
677	17181	0.485
678	17183	0.464
679	17185	0.548
680	17187	0.502
681	17189	0.404
682	17191	0.491
683	17193	0.535
684	17195	0.46
685	17197	0.434
686	17199	0.527
687	17201	0.444
688	17203	0.412
689	18001	0.489
690	18003	0.393
691	18005	0.413
692	18007	0.425
693	18009	0.587
694	18011	0.346
695	18013	0.431
696	18015	0.398
697	18017	0.461
698	18019	0.435
699	18021	0.493
700	18023	0.441
701	18025	0.548
702	18027	0.488
703	18029	0.405
704	18031	0.398
705	18033	0.461
706	18035	0.544
707	18037	0.453
708	18039	0.426
709	18041	0.631
710	18043	0.44
711	18045	0.456
712	18047	0.426
713	18049	0.533
714	18051	0.45
715	18053	0.509
716	18055	0.525
717	18057	0.241
718	18059	0.346
719	18061	0.467
720	18063	0.273
721	18065	0.502
722	18067	0.495
723	18069	0.475
724	18071	0.473
725	18073	0.418
726	18075	0.545
727	18077	0.439
728	18079	0.434
729	18081	0.345
730	18083	0.536
731	18085	0.429
732	18087	0.495
733	18089	0.437
734	18091	0.437
735	18093	0.523
736	18095	0.498
737	18097	0.417
738	18099	0.477
739	18101	0.461
740	18103	0.483
741	18105	0.508
742	18107	0.415
743	18109	0.404
744	18111	0.463
745	18113	0.485
746	18115	0.503
747	18117	0.544
748	18119	0.487
749	18121	0.493
750	18123	0.567
751	18125	0.475
752	18127	0.377
753	18129	0.458
754	18131	0.531
755	18133	0.412
756	18135	0.528
757	18137	0.492
758	18139	0.465
759	18141	0.456
760	18143	0.496
761	18145	0.393
762	18147	0.496
763	18149	0.5
764	18151	0.424
765	18153	0.557
766	18155	0.494
767	18157	0.499
768	18159	0.419
769	18161	0.533
770	18163	0.451
771	18165	0.5
772	18167	0.521
773	18169	0.525
774	18171	0.509
775	18173	0.332
776	18175	0.448
777	18177	0.564
778	18179	0.467
779	18181	0.439
780	18183	0.394
781	19001	0.426
782	19003	0.531
783	19005	0.449
784	19007	0.554
785	19009	0.51
786	19011	0.403
787	19013	0.41
788	19015	0.429
789	19017	0.441
790	19019	0.394
791	19021	0.468
792	19023	0.443
793	19025	0.504
794	19027	0.469
795	19029	0.447
796	19031	0.369
797	19033	0.444
798	19035	0.435
799	19037	0.504
800	19039	0.543
801	19041	0.484
802	19043	0.417
803	19045	0.471
804	19047	0.462
805	19049	0.295
806	19051	0.521
807	19053	0.62
808	19055	0.404
809	19057	0.478
810	19059	0.486
811	19061	0.39
812	19063	0.457
813	19065	0.488
814	19067	0.525
815	19069	0.516
816	19071	0.455
817	19073	0.451
818	19075	0.383
819	19077	0.421
820	19079	0.461
821	19081	0.41
822	19083	0.477
823	19085	0.467
824	19087	0.408
825	19089	0.415
826	19091	0.482
827	19093	0.465
828	19095	0.33
829	19097	0.529
830	19099	0.425
831	19101	0.538
832	19103	0.425
833	19105	0.407
834	19107	0.44
835	19109	0.425
836	19111	0.48
837	19113	0.373
838	19115	0.387
839	19117	0.533
840	19119	0.468
841	19121	0.444
842	19123	0.467
843	19125	0.43
844	19127	0.423
845	19129	0.333
846	19131	0.47
847	19133	0.517
848	19135	0.445
849	19137	0.591
850	19139	0.406
851	19141	0.475
852	19143	0.444
853	19145	0.464
854	19147	0.476
855	19149	0.422
856	19151	0.514
857	19153	0.329
858	19155	0.427
859	19157	0.456
860	19159	0.431
861	19161	0.453
862	19163	0.393
863	19165	0.457
864	19167	0.412
865	19169	0.488
866	19171	0.429
867	19173	0.456
868	19175	0.538
869	19177	0.488
870	19179	0.538
871	19181	0.334
872	19183	0.372
873	19185	0.617
874	19187	0.487
875	19189	0.512
876	19191	0.402
877	19193	0.477
878	19195	0.486
879	19197	0.505
880	20001	0.512
881	20003	0.56
882	20005	0.517
883	20007	0.477
884	20009	0.499
885	20011	0.663
886	20013	0.592
887	20015	0.422
888	20017	0.601
889	20019	0.552
890	20021	0.553
891	20023	0.585
892	20025	0.477
893	20027	0.42
894	20029	0.47
895	20031	0.472
896	20033	0.468
897	20035	0.518
898	20037	0.566
899	20039	0.555
900	20041	0.472
901	20043	0.473
902	20045	0.434
903	20047	0.377
904	20049	0.602
905	20051	0.5
906	20053	0.497
907	20055	0.345
908	20057	0.374
909	20059	0.453
910	20061	0.284
911	20063	0.505
912	20065	0.517
913	20067	0.204
914	20069	0.358
915	20071	0.465
916	20073	0.548
917	20075	0.403
918	20077	0.493
919	20079	0.504
920	20081	0.35
921	20083	0.43
922	20085	0.486
923	20087	0.392
924	20089	0.577
925	20091	0.27
926	20093	0.454
927	20095	0.333
928	20097	0.546
929	20099	0.591
930	20101	0.457
931	20103	0.381
932	20105	0.532
933	20107	0.543
934	20109	0.482
935	20111	0.53
936	20113	0.354
937	20115	0.534
938	20117	0.494
939	20119	0.388
940	20121	0.401
941	20123	0.48
942	20125	0.566
943	20127	0.518
944	20129	0.455
945	20131	0.449
946	20133	0.562
947	20135	0.49
948	20137	0.54
949	20139	0.488
950	20141	0.489
951	20143	0.391
952	20145	0.403
953	20147	0.514
954	20149	0.406
955	20151	0.504
956	20153	0.366
957	20155	0.46
958	20157	0.501
959	20159	0.518
960	20161	0.45
961	20163	0.495
962	20165	0.488
963	20167	0.57
964	20169	0.44
965	20171	0.287
966	20173	0.415
967	20175	0.369
968	20177	0.411
969	20179	0.458
970	20181	0.559
971	20183	0.578
972	20185	0.47
973	20187	0.46
974	20189	0.514
975	20191	0.487
976	20193	0.561
977	20195	0.355
978	20197	0.351
979	20199	0.581
980	20201	0.536
981	20203	0.261
982	20205	0.615
983	20207	0.582
984	20209	0.476
985	21001	0.683
986	21003	0.638
987	21005	0.403
988	21007	0.5
989	21009	0.637
990	21011	0.649
991	21013	0.721
992	21015	0.322
993	21017	0.526
994	21019	0.623
995	21021	0.489
996	21023	0.557
997	21025	0.756
998	21027	0.539
999	21029	0.416
1000	21031	0.627
1001	21033	0.533
1002	21035	0.601
1003	21037	0.416
1004	21039	0.58
1005	21041	0.463
1006	21043	0.569
1007	21045	0.735
1008	21047	0.515
1009	21049	0.48
1010	21051	0.78
1011	21053	0.665
1012	21055	0.593
1013	21057	0.639
1014	21059	0.492
1015	21061	0.713
1016	21063	0.76
1017	21065	0.691
1018	21067	0.428
1019	21069	0.643
1020	21071	0.648
1021	21073	0.377
1022	21075	0.705
1023	21077	0.421
1024	21079	0.517
1025	21081	0.462
1026	21083	0.607
1027	21085	0.593
1028	21087	0.755
1029	21089	0.548
1030	21091	0.403
1031	21093	0.439
1032	21095	0.765
1033	21097	0.537
1034	21099	0.668
1035	21101	0.595
1036	21103	0.52
1037	21105	0.578
1038	21107	0.545
1039	21109	0.669
1040	21111	0.426
1041	21113	0.441
1042	21115	0.668
1043	21117	0.367
1044	21119	0.662
1045	21121	0.74
1046	21123	0.571
1047	21125	0.586
1048	21127	0.715
1049	21129	0.739
1050	21131	0.789
1051	21133	0.763
1052	21135	0.728
1053	21137	0.677
1054	21139	0.676
1055	21141	0.585
1056	21143	0.427
1057	21145	0.523
1058	21147	0.87
1059	21149	0.537
1060	21151	0.527
1061	21153	0.746
1062	21155	0.604
1063	21157	0.583
1064	21159	0.69
1065	21161	0.581
1066	21163	0.492
1067	21165	0.509
1068	21167	0.567
1069	21169	0.683
1070	21171	0.697
1071	21173	0.537
1072	21175	0.714
1073	21177	0.642
1074	21179	0.49
1075	21181	0.599
1076	21183	0.641
1077	21185	0.329
1078	21187	0.579
1079	21189	0.923
